TOTS;Player;Squad;Born;Age;Nation;Nation2;MP;90s;Minutes;Pos1;Pos2;Starts;Gls;Ast;GAs;pensattempted;pensscored;nonpengoals;xpectedAssistedGoals;xpectedGoals;nonpenxG;ProgCarries;ProgPasses;ProgRuns;CrdY;CrdR;gls90;ast90;ga90;ganonpen90;nonpengoals90;xpectGoals90;xGaXG90;xAG90;nonpenxpecGoalsxAssistedGoals90;npxGxAG;npxG90;glcreatingaction;GCA90;foulsdrawn;Fouldrawngoal;defensiveactionsthatleadtoshotattempt;defactiongoal;PassDeadShotAttempt;PassDeaGoal;PassLiveShotAttempt;PassLiveGoal;shotcreatingactions;SCA90;succtakeon;TakeOnGoal;Sum of clearances;challengeslost;intercepts;errors;tackles;TklWon;shotsblocked;passsesblocked;percentdribblerstackled;crossesfaced;crossesstopped;crossstopperc;defactionsoutsidepenarea;defactionoutsidepen90;passesattemtedover40yards;passescompetedover40yards;AvgDistofdefensiveactionsfromgoal;AvgLenpassinYards;OG;PSxG;PSxGallowed90;PSxGperShotonTarget;PSxGminusgoalsallowed;GA;PKA;Touches;DefPenTouches;Def3rdTouches;Mid3rdTouches;Att3rdTouches;AttPenaltyareatouches;LiveBallTouches;Carries;Miscontrols;TakeOnAttempted;TakeOnSucc;TakeOnSuccPercen;TkldDurTakeOn;TotDistYards;TkldPercen;PassesReceived;ProgPassesReceived;Dispossessed
No;Aaron Cresswell;West Ham;1989;34;eng ENG;eng;18;9.2;824;DF;;10;0;0;0;0;0;0;1.3;0.2;0.2;6;36;4;3;0;0;0;0;0;0;0.03;0.17;0.15;0.17;1.6;0.03;0;0;0;0;0;0;8;0;7;0;15;1.64;0;0;37;2;8;0;11;7;4;5;81,8;;;;;;;;;;;;;;;;;687;45;270;328;94;2;687;291;4;2;1;50;1;1102;50;437;4;0
No;Aaron Ramsdale;Southampton;1998;26;eng ENG;eng;30;30;2700;GK;;30;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;3;0.1;0;0;10;3;2;3;0;0;0;0;0;457;25;5.5;20;0.67;605;196;11.7;36;0;63.5;-0.08;0.32;-2.5;66;5;1314;946;1286;32;0;0;1314;786;3;0;0;;0;4017;;702;0;0
No;Aaron Wan-Bissaka;West Ham;1997;26;eng ENG;eng;36;35;3154;DF;;35;2;5;7;0;0;2;3.5;1.2;1.2;110;149;167;1;0;0.06;0.14;0.2;0.2;0.06;0.03;0.14;0.1;0.14;4.7;0.03;10;0.29;2;0;2;0;4;0;75;9;93;2.65;7;0;125;9;66;0;70;49;11;26;71,9;;;;;;;;;;;;;;;;;2256;147;682;969;637;48;2256;1092;35;122;64;52.5;43;6700;35.2;1322;167;22
No;Abdoulaye Doucouré;Everton;1993;31;ml MLI;ml;33;28.5;2564;MF;;31;3;2;5;0;0;3;2.4;4.1;4.1;42;82;96;5;1;0.11;0.07;0.18;0.18;0.11;0.15;0.23;0.09;0.23;6.6;0.15;3;0.11;0;0;1;1;0;0;52;2;58;2.04;3;0;20;29;10;1;48;28;6;25;32,6;;;;;;;;;;;;;;;;;1161;32;225;538;413;65;1161;604;38;45;24;53.3;21;2952;46.7;750;96;38
No;Abdukodir Khusanov;Manchester City;2004;20;uz UZB;uz;6;5.6;503;DF;;6;0;0;0;0;0;0;0.1;0;0;1;25;2;1;0;0;0;0;0;0;0;0.02;0.02;0.02;0.1;0;0;0;0;0;0;0;0;0;5;0;5;0.89;0;0;29;1;3;1;5;4;4;1;66,7;;;;;;;;;;;;;;;;;445;45;205;211;31;1;445;274;2;2;0;0;2;1155;100;332;2;1
No;Abdul Fatawu Issahaku;Leicester City;2004;20;gh GHA;gh;11;6.4;579;FW;;6;0;2;2;0;0;0;1.6;0.4;0.4;42;17;60;0;0;0;0.31;0.31;0.31;0;0.06;0.31;0.24;0.31;2;0.06;3;0.47;4;0;0;0;0;0;10;2;17;2.64;2;0;12;8;4;0;21;15;0;7;57,9;;;;;;;;;;;;;;;;;326;19;73;114;157;26;326;217;18;69;29;42;28;1869;40.6;216;60;12
No;Adam Armstrong;Southampton;1997;27;eng ENG;eng;20;13.9;1248;FW;MF;15;2;2;4;1;0;2;1.2;3.3;2.3;25;21;79;4;0;0.14;0.14;0.29;0.29;0.14;0.24;0.32;0.09;0.25;3.5;0.17;4;0.29;0;0;0;0;1;0;12;1;19;1.37;2;0;8;11;3;0;12;3;1;5;21,4;;;;;;;;;;;;;;;;;377;11;44;143;192;49;376;235;11;14;6;42.9;8;1324;57.1;286;79;18
No;Adam Lallana;Southampton;1988;36;eng ENG;eng;14;4;361;MF;;5;0;2;2;0;0;0;0.9;0.2;0.2;6;24;10;4;0;0;0.5;0.5;0.5;0;0.04;0.27;0.23;0.27;1.1;0.04;2;0.5;1;0;0;0;0;0;8;2;9;2.24;0;0;5;10;5;0;8;5;1;3;16,7;;;;;;;;;;;;;;;;;318;19;91;155;73;6;318;178;10;12;5;41.7;5;831;41.7;245;10;6
No;Adam Smith;Bournemouth;1991;33;eng ENG;eng;25;17.7;1590;DF;;19;0;0;0;0;0;0;0.4;0.7;0.7;15;49;34;7;0;0;0;0;0;0;0.04;0.06;0.02;0.06;1.1;0.04;2;0.11;3;1;1;0;1;0;17;1;23;1.3;1;0;49;13;15;1;24;12;5;8;51,9;;;;;;;;;;;;;;;;;825;41;240;394;197;8;825;366;13;16;6;37.5;7;1552;43.8;403;34;7
No;Adam Webster;Brighton;1995;29;eng ENG;eng;14;9.9;887;DF;;11;0;0;0;0;0;0;0.5;0.2;0.2;8;63;2;1;0;0;0;0;0;0;0.03;0.08;0.05;0.08;0.7;0.03;4;0.41;0;0;0;0;2;1;10;2;14;1.42;0;0;41;8;20;2;10;6;9;7;42,9;;;;;;;;;;;;;;;;;824;119;389;399;43;15;824;476;5;3;1;33.3;2;2600;66.7;552;2;1
